Time_Frame,TM_Srvc_Type,Time_Frame_Yr,Time_Frame_Mth,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,TM_Bene_Cnt,Tot_Bene_Cnt,TM_Bene_Pct
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,Aged,All,All,26682,331535,0.0804801906
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,65-74,All,14398,177040,0.081326254
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,75-84,All,9391,116905,0.0803301826
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,85 and over,All,3255,42856,0.0759520254
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,All,All,36027,428008,0.0841736603
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,All,Rural,8649,118448,0.073019384
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,All,Urban,27287,308130,0.088556778
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,Less than 65,All,8983,91207,0.0984902475
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,Disabled,All,All,8654,86456,0.1000971592
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,ESRD,All,All,691,10017,0.0689827294
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,Female,All,All,All,22978,249947,0.0919314895
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,Male,All,All,All,13049,178061,0.0732838746
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,American Indian / Alaska Native,All,All,All,All,38,386,0.0984455959
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,Asian,All,All,All,All,114,1585,0.0719242902
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,Black/African American,All,All,All,All,8192,102975,0.0795532896
